name,link,address,lat,lng,rent_raw,rent_from,rent_to,layout_raw,layouts,built_year,management_fee_raw,management_fees,access,comment
アスタ,/jkktokyo/detailMap?account=jkktokyo&bid=4680060&pgret=2,西東京市田無町2-1-1,35.7281747,139.5403688,"88,500～148,000円（月額）",88500,148000,2DK・3LDK,"['2DK', '3LDK']",1995,"5,000円",[5000],西武新宿線「田無」駅下車徒歩3分,
エミエルタワー竹の塚,/jkktokyo/detailMap?account=jkktokyo&bid=2180410&pgret=2,足立区西竹の塚1-11-2,35.7931562,139.7896744,"101,400～152,500円（月額）",101400,152500,1LDK～3LDK,"['1LDK', '3LDK']",2005,"3,500円",[3500],東武スカイツリーライン(伊勢崎線)「竹ノ塚」駅下車徒歩3分,
カーメスト大蔵の杜,/jkktokyo/detailMap?account=jkktokyo&bid=1280880&pgret=2,世田谷区 大蔵3-1-5,35.6324043,139.6104689,"107,900～189,900円（月額）",107900,189900,1Ｋ＋Ｓ～3LDK,"['1K+S', '3LDK']",2022,"5,300円",[5300],小田急小田原線「祖師ヶ谷大蔵」駅 徒歩18～20分,
コーシャタワー小松川,/jkktokyo/detailMap?account=jkktokyo&bid=2380200&pgret=2,江戸川区小松川1-2-3,35.6880609,139.849889,"107,000～176,700円（月額）",107000,176700,２ＤＫ～４ＤＫ,"['2DK', '4DK']",1993,"4,800円",[4800],都営地下鉄新宿線「東大島」駅下車徒歩2分,
コーシャタワー佃,/jkktokyo/detailMap?account=jkktokyo&bid=280070&pgret=2,中央区佃2-2-11,35.6679229,139.786816,"120,000～236,800円（月額）",120000,236800,１ＬＤＫ～４ＬＤＫ,"['1LDK', '4LDK']",1991,"4,900円",[4900],東京メトロ有楽町線「月島」駅下車徒歩5分,
コーシャハイム愛宕四丁目,/jkktokyo/detailMap?account=jkktokyo&bid=5480170&pgret=2,"多摩市愛宕4-53-2,3",35.6318178,139.4302776,"81,800～108,700円（月額）",81800,108700,2LDK～4LDK,"['2LDK', '4LDK']",1993,"4,600円",[4600],小田急多摩線「多摩センター」駅からバス約4分「愛宕四丁目」下車徒歩2分,
コーシャハイム芦花公園,/jkktokyo/detailMap?account=jkktokyo&bid=1280820&pgret=2,世田谷区南烏山2-6-1,35.6656097,139.6074011,"85,900～181,300円（月額）",85900,181300,1DK～3LDK,"['1DK', '3LDK']",2008,"4,500円",[4500],京王線「芦花公園」駅下車徒歩8分,４号棟には各住戸に１台エアコンが設置されています。
コーシャハイム下柚木三丁目,/jkktokyo/detailMap?account=jkktokyo&bid=3180370&pgret=2,八王子市下柚木3-3-1,35.620227,139.3794168,"78,000～120,900円（月額）",78000,120900,2LDK～4LDK+ＤＫ,"['2LDK', '4LDK+DK']",1995,"5,400円",[5400],京王相模原線「南大沢」駅下車徒歩12分,
コーシャハイム加賀,/jkktokyo/detailMap?account=jkktokyo&bid=1980350&pgret=2,板橋区加賀1-23-1,35.7580546,139.7177596,"89,700～144,600円（月額）",89700,144600,１Ｋ～２ＬＤＫ,"['1K', '2LDK']",2015,"4,400円",[4400],ＪＲ埼京線「十条」駅下車徒歩8分,
コーシャハイム亀戸七丁目,/jkktokyo/detailMap?account=jkktokyo&bid=880370&pgret=2,江東区亀戸7-67-2,35.6947233,139.8390923,"102,200～127,300円（月額）",102200,127300,1LDK～3DK,"['1LDK', '3DK']",2003,"4,100円",[4100],都営地下鉄新宿線「大島」駅下車徒歩10分,
